    2.8013649318E-03    2.0133428591E-04    1.8619490532E-07    7.0013747189E-05   -2.0343986364E-06
    5.6035490416E-03    7.4579309950E-04    1.2469047715E-06    2.2560510794E-04   -1.0709071522E-05
    8.4073717473E-03    1.6175700813E-03    4.3794304862E-06    4.2496275216E-04   -3.1105892262E-05
    1.1213652946E-02    2.7835014329E-03    1.0785262846E-05    6.4138902519E-04   -6.7383311027E-05
    1.4023213252E-02    4.1898435940E-03    2.1632557441E-05    8.5856904145E-04   -1.2236474872E-04
    1.6836874242E-02    5.7530144403E-03    3.7828880812E-05    1.0659965201E-03   -1.9661899983E-04
    1.9655458689E-02    7.3524657170E-03    5.9156495412E-05    1.2603450617E-03   -2.8523237851E-04
    2.2479790805E-02    8.9005124564E-03    8.5544929762E-05    1.4404527969E-03   -3.8403950894E-04
    2.5310696487E-02    1.0326614629E-02    1.1678591612E-04    1.6066259732E-03   -4.8857632138E-04
    2.8149003549E-02    1.1579438934E-02    1.5285259401E-04    1.7598889285E-03   -5.9485170142E-04
    3.0995541973E-02    1.2613156130E-02    1.9367417434E-04    1.9004267132E-03   -6.9874507401E-04
    3.3851144146E-02    1.3442847750E-02    2.3850739127E-04    2.0306577504E-03   -7.9779567257E-04
    3.6716645107E-02    1.4077403293E-02    2.8684808766E-04    2.1513484834E-03   -8.9025421449E-04
    3.9592882789E-02    1.4533505572E-02    3.3832045127E-04    2.2632350182E-03   -9.7520874111E-04
    4.2480698264E-02    1.4831977319E-02    3.9260822447E-04    2.3669297864E-03   -1.0523643506E-03
    4.5380935990E-02    1.4993209244E-02    4.4912792028E-04    2.4626202422E-03   -1.1214086719E-03
    4.8294444059E-02    1.5031222005E-02    5.0787963472E-04    2.5502484881E-03   -1.1823097427E-03
    5.1222074440E-02    1.4977968677E-02    5.6790749353E-04    2.6306265897E-03   -1.2359451849E-03
    5.4164683234E-02    1.4851124804E-02    6.2899763484E-04    2.7042015365E-03   -1.2830743030E-03
    5.7123130924E-02    1.4665768552E-02    6.9065227454E-04    2.7712137736E-03   -1.3241570483E-03
    6.0098282620E-02    1.4434863527E-02    7.5253554188E-04    2.8320044404E-03   -1.3598015195E-03
    6.3091008321E-02    1.4169396653E-02    8.1434034789E-04    2.8869109354E-03   -1.3905939508E-03
    6.6102183162E-02    1.3878222804E-02    8.7565355793E-04    2.9361969493E-03   -1.4169377462E-03
    6.9132687674E-02    1.3569147402E-02    9.3632832173E-04    2.9802799707E-03   -1.4394627430E-03
    7.2183408040E-02    1.3247789871E-02    9.9589975672E-04    3.0193302390E-03   -1.4583595385E-03
    7.5255236356E-02    1.2919452902E-02    1.0542775105E-03    3.0535918785E-03   -1.4741199628E-03
    7.8349070888E-02    1.2588425256E-02    1.1111068641E-03    3.0835532125E-03   -1.4870627140E-03
    8.1465816339E-02    1.2258283036E-02    1.1664070019E-03    3.1096651755E-03   -1.4976864820E-03
    8.4606384112E-02    1.1931163490E-02    1.2198769386E-03    3.1321851302E-03   -1.5060937205E-03
    8.7771692574E-02    1.1609372360E-02    1.2715302239E-03    3.1515728111E-03   -1.5126566977E-03
    9.0962667328E-02    1.1294228048E-02    1.3211631431E-03    3.1681360980E-03   -1.5174853527E-03
    9.4180241483E-02    1.0987073214E-02    1.3687969190E-03    3.1822480110E-03   -1.5208513375E-03
    9.7425355925E-02    1.0688544365E-02    1.4143025030E-03    3.1941053342E-03   -1.5228380601E-03
    1.0069895959E-01    1.0399320563E-02    1.4577104279E-03    3.2039283921E-03   -1.5236394805E-03
    1.0400200976E-01    1.0119564670E-02    1.4989456957E-03    3.2118188743E-03   -1.5233241475E-03
    1.0733547230E-01    9.8494889538E-03    1.5380519656E-03    3.2179306910E-03   -1.5220469487E-03
    1.1070032200E-01    9.5889495935E-03    1.5749860137E-03    3.2223502490E-03   -1.5198755556E-03
